FID,Region,Country,Plant,NumReactor
0,Europe - Western,SWEDEN,AGESTA,1
1,Europe - Western,SPAIN,ALMARAZ,2
2,America - Latin,BRAZIL,ANGRA,3
3,America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE,2
4,Europe - Western,SPAIN,ASCO,2
5,America - Latin,ARGENTINA,ATUCHA,2
6,Europe - Western,GERMANY,AVR,1
7,Europe - Central and Eastern,RUSSIAN FEDERATION,BALAKOVO,4
8,Europe - Western,SWEDEN,BARSEBACK,2
9,America - Northern,UNITED STATES OF AMERICA,BEAVER VALLEY,2
10,Europe - Central and Eastern,BULGARIA,BELENE,2
11,Europe - Western,FRANCE,BELLEVILLE,2
12,Europe - Central and Eastern,RUSSIAN FEDERATION,BELOYARSKY,4
13,Europe - Western,UNITED KINGDOM,BERKELEY,2
14,Europe - Western,SWITZERLAND,BEZNAU,2
15,Europe - Western,GERMANY,BIBLIS,2
16,America - Northern,UNITED STATES OF AMERICA,BIG ROCK POINT,1
17,Europe - Central and Eastern,RUSSIAN FEDERATION,BILIBINO,4
18,Europe - Western,FRANCE,BLAYAIS,4
19,,KAZAKHSTAN,BN-350,1
20,Europe - Central and Eastern,SLOVAK REPUBLIC,BOHUNICE,5
21,America - Northern,UNITED STATES OF AMERICA,BONUS,1
22,Europe - Western,NETHERLANDS,BORSSELE,1
23,Europe - Western,UNITED KINGDOM,BRADWELL,2
24,America - Northern,UNITED STATES OF AMERICA,BRAIDWOOD,2
25,Europe - Western,FRANCE,BRENNILIS,1
26,Europe - Western,GERMANY,BROKDORF (KBR),1
27,America - Northern,UNITED STATES OF AMERICA,BROWNS FERRY,3
28,America - Northern,CANADA,BRUCE,8
29,Europe - Western,GERMANY,BRUNSBUETTEL,1
30,America - Northern,UNITED STATES OF AMERICA,BRUNSWICK,2
31,Europe - Western,FRANCE,BUGEY,5
32,Asia - Middle East and South,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR,1
33,America - Northern,UNITED STATES OF AMERICA,BYRON,2
34,America - Northern,UNITED STATES OF AMERICA,CALLAWAY,1
35,America - Northern,UNITED STATES OF AMERICA,CALVERT CLIFFS,2
36,Europe - Western,ITALY,CAORSO,1
37,America - Northern,UNITED STATES OF AMERICA,CATAWBA,2
38,Europe - Western,FRANCE,CATTENOM,4
39,Asia - Far East,CHINA,CEFR,1
40,Europe - Central and Eastern,ROMANIA,CERNAVODA,2
41,Asia - Far East,CHINA,CHANG JIANG,2
42,Europe - Western,UNITED KINGDOM,CHAPELCROSS,4
43,Asia - Middle East and South,PAKISTAN,CHASNUPP,4
44,Europe - Central and Eastern,UKRAINE,CHERNOBYL,4
45,Asia - Far East,"TAIWAN, CHINA",CHIN SHAN,2
46,Europe - Western,FRANCE,CHINON,7
47,Europe - Western,FRANCE,CHOOZ,3
48,Europe - Western,FRANCE,CIVAUX,2
49,America - Northern,UNITED STATES OF AMERICA,CLINTON,1
50,Europe - Western,SPAIN,COFRENTES,1
51,America - Northern,UNITED STATES OF AMERICA,COLUMBIA,1
52,America - Northern,UNITED STATES OF AMERICA,COMANCHE PEAK,2
53,America - Northern,UNITED STATES OF AMERICA,COOPER,1
54,Europe - Western,FRANCE,CREYS-MALVILLE,1
55,Europe - Western,FRANCE,CRUAS,4
56,America - Northern,UNITED STATES OF AMERICA,CRYSTAL RIVER,1
57,America - Northern,UNITED STATES OF AMERICA,CVTR,1
58,Europe - Western,FRANCE,DAMPIERRE,4
59,America - Northern,CANADA,DARLINGTON,4
60,America - Northern,UNITED STATES OF AMERICA,DAVIS BESSE,1
